Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.0-0.0.2.105-0-0-0,134.221.96.0,0,0.0.2.105,0,0,05/11/2025 11:17:42 PM,78562437,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02545745875983964,7.8562437E7,0.0,7.8562437E7,7.8562437E7,7.8562437E7,7.8562437E7,0.0,7.8562437E7,7.8562437E7,0,0,0,0,0,0,0,0,0,0,0,0.02545745875983964,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7.8562437E7,0.0,7.8562437E7,7.8562437E7,NeedManualLabel
134.221.96.10-75.57.0.20-0-0-0,134.221.96.10,0,75.57.0.20,0,0,05/11/2025 11:17:42 PM,3669,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,817.6614881439084,1834.5,1242.386614544764,2713.0,956.0,3669.0,1834.5,1242.386614544764,2713.0,956.0,0,0,0,0,0,0,0,0,0,0,0,817.6614881439084,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.1-189.132.0.20-0-0-0,134.221.96.1,0,189.132.0.20,0,0,05/11/2025 11:17:42 PM,119999,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,25.00020833506946,59999.5,80629.26493835845,117013.0,2986.0,119999.0,59999.5,80629.26493835845,117013.0,2986.0,0,0,0,0,0,0,0,0,0,0,0,25.00020833506946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.11-66.79.0.20-0-0-0,134.221.96.11,0,66.79.0.20,0,0,05/11/2025 11:17:40 PM,5577,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,537.9236148466917,2788.5,2071.1157620953977,4253.0,1324.0,5577.0,2788.5,2071.1157620953977,4253.0,1324.0,0,0,0,0,0,0,0,0,0,0,0,537.9236148466917,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.15-139.21.0.41-0-0-0,134.221.96.15,0,139.21.0.41,0,0,05/11/2025 11:19:40 PM,110678,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,27.105657854316124,55339.0,78061.7602158701,110537.0,141.0,110678.0,55339.0,78061.7602158701,110537.0,141.0,0,0,0,0,0,0,0,0,0,0,0,27.105657854316124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.6-253.9.0.40-0-0-0,134.221.96.6,0,253.9.0.40,0,0,05/11/2025 11:19:24 PM,919845,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,114.14966651990281,8844.663461538461,31387.688016816122,307529.0,16.0,919845.0,8844.663461538461,31387.688016816122,307529.0,16.0,0,0,0,0,0,0,0,0,0,0,0,114.14966651990281,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.14-26.56.4.214-0-0-0,134.221.96.14,0,26.56.4.214,0,0,05/11/2025 11:17:42 PM,64785,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,77.17835918808366,16196.25,19332.082339554974,39182.0,25.0,64785.0,16196.25,19332.082339554974,39182.0,25.0,0,0,0,0,0,0,0,0,0,0,0,77.17835918808366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.9-209.213.0.20-0-0-0,134.221.96.9,0,209.213.0.20,0,0,05/11/2025 11:18:46 PM,5773,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,519.6604884808592,2886.5,470.2260094890541,3219.0,2554.0,5773.0,2886.5,470.2260094890541,3219.0,2554.0,0,0,0,0,0,0,0,0,0,0,0,519.6604884808592,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.8-242.207.0.20-0-0-0,134.221.96.8,0,242.207.0.20,0,0,05/11/2025 11:17:49 PM,11462,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,261.7344268016053,5731.0,8104.8579259602075,11462.0,0.0,11462.0,5731.0,8104.8579259602075,11462.0,0.0,0,0,0,0,0,0,0,0,0,0,0,261.7344268016053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.14-137.30.0.40-0-0-0,134.221.96.14,0,137.30.0.40,0,0,05/11/2025 11:21:54 PM,10004865,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.199902747313432,1.0004865E7,0.0,1.0004865E7,1.0004865E7,1.0004865E7,1.0004865E7,0.0,1.0004865E7,1.0004865E7,0,0,0,0,0,0,0,0,0,0,0,0.199902747313432,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0004865E7,0.0,1.0004865E7,1.0004865E7,NeedManualLabel
