Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.111-13.107.137.11-52047-443-6,192.168.0.111,52047,13.107.137.11,443,6,05/11/2025 10:23:39 PM,92663,11,16,729.0,15011.0,449.0,0.0,66.27272727272727,141.31106885809825,4356.0,0.0,938.1874999999999,1200.241598943035,169862.83629927805,291.37843583738925,3563.9615384615386,4343.460376066708,16792.0,0.0,84604.0,8460.4,5399.636349895343,17460.0,216.0,86374.0,5758.266666666666,7144.259288474375,20691.0,0.0,0,0,0,0,300,332,118.70973311893637,172.6687027184529,0.0,4356.0,562.1428571428572,1001.6967721223939,1003396.423280423,1,2,0,6,26,0,0,0,1.0,582.9629629629629,66.27272727272727,938.1875,0,0,0,15740,14,204166,0,0,0,0,65535,16383,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-130.213.27.179-52016-443-6,192.168.0.111,52016,130.213.27.179,443,6,05/11/2025 10:23:41 PM,173392,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.534557534372983,173392.0,0.0,173392.0,173392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.767278767186491,5.767278767186491,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,255,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-13.107.246.34-63402-443-6,192.168.0.111,63402,13.107.246.34,443,6,05/11/2025 10:23:01 PM,45004681,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,0.022219910857717223,0.044439821715434445,4.5004681E7,0.0,4.5004681E7,4.5004681E7,4.5004681E7,4.5004681E7,0.0,4.5004681E7,4.5004681E7,0,0,0,0,0,0,0,0,0,40,0,0.044439821715434445,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,1,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,2,1,0,0,253,0,0,20,0,0,0,0,4.5004681E7,0.0,4.5004681E7,4.5004681E7,NeedManualLabel
192.168.0.111-52.182.141.63-52050-443-6,192.168.0.111,52050,52.182.141.63,443,6,05/11/2025 10:23:47 PM,827765,9,10,2697.0,8060.0,1440.0,0.0,299.6666666666667,476.3751147992515,2904.0,0.0,805.9999999999999,972.7069902539452,12995.23415462118,22.95337444806195,45986.94444444444,75473.70722114168,207498.0,0.0,673925.0,84240.625,90018.47724286943,208525.0,70.0,676618.0,75179.77777777778,89954.69537880969,207903.0,0.0,0,0,0,0,216,212,10.872651054345134,12.080723393716816,0.0,2904.0,537.8499999999999,789.7302854039539,623673.9236842105,1,2,0,7,18,0,0,0,1.0,566.1578947368421,299.6666666666667,806.0,0,0,0,10757,12,16035,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52058-443-6,192.168.0.111,52058,52.182.141.63,443,6,05/11/2025 10:23:48 PM,1337043,9,11,2699.0,10965.0,1440.0,0.0,299.8888888888889,476.3773306016053,2904.0,0.0,996.8181818181819,1118.7414194693802,10219.56661079711,14.958382041564857,70370.68421052632,100816.99978401606,331505.0,0.0,1184077.0,148009.625,173429.2032509746,526432.0,33.0,1184943.0,118494.29999999999,113614.70938224113,331505.0,0.0,0,0,0,0,216,232,6.731271918704185,8.22711012286067,0.0,2904.0,650.6666666666667,926.8254600157104,859005.4333333332,1,2,0,7,19,0,0,0,1.0,683.2,299.8888888888889,996.8181818181819,0,0,0,13664,13,11546,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52061-443-6,192.168.0.111,52061,52.182.141.63,443,6,05/11/2025 10:23:49 PM,947142,10,10,2907.0,8060.0,1440.0,0.0,290.7,465.4701446446975,2904.0,0.0,805.9999999999999,972.7069902539452,11579.045169573305,21.11615787284272,49849.57894736841,72139.83675035881,194144.0,0.0,915029.0,101669.88888888889,99070.1359952186,236820.0,27.0,799927.0,88880.77777777778,81540.68524021885,194484.0,0.0,0,0,0,0,236,212,10.55807893642136,10.55807893642136,0.0,2904.0,522.2380952380951,777.1560914489384,603971.5904761906,1,2,0,7,19,0,0,0,1.0,548.35,290.7,806.0,0,0,0,10967,12,13733,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52063-443-6,192.168.0.111,52063,52.182.141.63,443,6,05/11/2025 10:23:49 PM,1316878,9,11,2695.0,10965.0,1440.0,0.0,299.44444444444446,476.373831961599,2904.0,0.0,996.8181818181819,1118.7414194693802,10373.01860916501,15.187435738162533,69309.36842105263,99700.95378247142,326376.0,0.0,1157575.0,144696.87499999997,173973.92806841366,530562.0,38.0,1165391.0,116539.10000000003,112075.23020964288,326376.0,0.0,0,0,0,0,216,232,6.834346082173139,8.353089655989393,0.0,2904.0,650.4761904761904,926.900459545016,859144.461904762,1,2,0,7,19,0,0,0,1.0,683.0,299.44444444444446,996.8181818181819,0,0,0,13660,13,11729,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52062-443-6,192.168.0.111,52062,52.182.141.63,443,6,05/11/2025 10:23:49 PM,1318922,9,11,2580.0,10965.0,1440.0,0.0,286.6666666666667,477.8668747674398,2904.0,0.0,996.8181818181819,1118.7414194693802,10269.750599353109,15.163899002367085,69416.94736842104,100213.97692852234,331551.0,0.0,1160487.0,145060.875,175329.2740934183,535250.0,28.0,1168341.0,116834.1,113040.16147315863,331551.0,0.0,0,0,0,0,216,232,6.823754551065188,8.340144451301898,0.0,2904.0,645.0,929.4047557442343,863793.1999999998,1,2,0,7,19,0,0,0,1.0,677.25,286.6666666666667,996.8181818181819,0,0,0,13545,13,11605,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52065-443-6,192.168.0.111,52065,52.182.141.63,443,6,05/11/2025 10:23:52 PM,1254930,11,12,2722.0,12417.0,1440.0,0.0,247.45454545454547,443.3814077374837,4356.0,0.0,1034.75,1374.6318598082905,12063.621078466527,18.327715490107018,57042.27272727274,80544.59887019225,212710.0,0.0,1100134.0,110013.4,88834.1750844422,222136.0,56.0,1060918.0,96447.09090909091,87008.44000032933,213651.0,0.0,0,0,0,0,288,252,8.765429147442486,9.56228634266453,0.0,4356.0,630.7916666666666,1077.9230826461826,1161918.172101449,1,2,0,7,22,0,0,0,1.0,658.2173913043479,247.45454545454547,1034.75,0,0,0,15139,14,14282,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-52.182.141.63-52069-443-6,192.168.0.111,52069,52.182.141.63,443,6,05/11/2025 10:24:06 PM,1229422,11,11,3625.0,9513.0,1440.0,0.0,329.54545454545456,534.0989353362097,4356.0,0.0,864.8181818181819,1302.8430310810138,10686.32251578384,17.8945878632398,58543.904761904756,99085.56148395424,331117.0,0.0,1046272.0,104627.20000000001,118468.59007236194,331429.0,28.0,1062700.0,106270.0,120050.11479655764,331277.0,0.0,0,0,0,0,280,232,8.9472939316199,8.9472939316199,0.0,4356.0,571.2173913043478,994.1551898481324,988344.5415019762,1,2,0,7,21,0,0,0,1.0,597.1818181818181,329.54545454545456,864.8181818181819,0,0,0,13138,13,12375,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
